ID,Určovatel,Pouzdro,Množství,Určení
1,SW1,SW_SPST_FSMSM,1,SW_Push
2,"C4,C5,C6,C7,C9,C11,C14,C1",C_0805_2012Metric,8,100n
3,"C10,C13",C_0805_2012Metric,2,10n
4,"C8,C12",C_1206_3216Metric,2,10u/10V
5,C3,CP_Radial_D8.0mm_P3.50mm,1,100u/50V
6,C2,CP_EIA-7343-31_Kemet-D,1,22u/25V
7,J3,IDC-Header_2x03_P2.54mm_Vertical,1,IDC_02X03
8,JP1,PinHeader_1x02_P2.54mm_Vertical,1,PROG
9,J2,PinHeader_1x03_P2.54mm_Vertical,1,UART_01X03
10,J4,PinHeader_1x04_P2.54mm_Vertical,1,SWD_01X04
11,J1,USB_B_TE_5787834_Vertical,1,USB_B
12,"D3,D4",D_SMA,2,SS14
13,L1,L_7.3x7.3_H4.5,1,DE0704-22
14,"H1,H2,H3,H4",Bolt_M3,4,M3
15,"D2,D1",LED_0805_2012Metric,2,LED
16,A1,Pololu_Breakout-16_15.2x20.3mm,1,Pololu_Breakout_DRV8825
17,U3,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102
18,U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBTx
19,U1,SOT-23-6,1,USBLC6-2SC6
20,U4,SOT-23-6_Handsoldering,1,MCP16301H
21,R8,R_0805_2012Metric,1,33k
22,"R2,R9,R4",R_0805_2012Metric,3,10k
23,"R3,R1",R_0805_2012Metric,2,330R
24,"R7,R6",R_0805_2012Metric,2,100R
25,R5,R_0805_2012Metric,1,R
26,J5,"TerminalBlock_Phoenix_MKDS-1,5-9_1x09_P5.00mm_Horizontal",1,Screw_Terminal
